strain	virus	date	GISAID_clade	country_exposure	division_exposure	period	source
USA/WA-UW-2208/2020	SARS-CoV-2	2020-03-25	GH	USA	Washington	C	USA-other
USA/MI-MDHHS-SC21463/2020	SARS-CoV-2	2020-03-25	GH	USA	Michigan	C	USA-other
USA/NM-UNM-00010/2020	SARS-CoV-2	2020-03-13	GH	USA	New Mexico	C	USA-other
USA/WA-S1407/2020	SARS-CoV-2	2020-05-19	GR	USA	Washington	C	USA-other
USA/WA-S2309/2020	SARS-CoV-2	2020-06-11	GR	USA	Washington	C	USA-other
USA/CA-SR0463/2020	SARS-CoV-2	2020-05-19	G	USA	California	C	USA-other
USA/WA-UW-1581/2020	SARS-CoV-2	2020-03-19	S	USA	Washington	C	USA-other
USA/WI-UW-328/2020	SARS-CoV-2	2020-04-26	GH	USA	Wisconsin	C	USA-other
USA/UT-02448/2020	SARS-CoV-2	2020-04-22	G	USA	Utah	C	USA-other
USA/NM-UNM-00091/2020	SARS-CoV-2	2020-04-01	GH	USA	New Mexico	C	USA-other
USA/FL-BPHL-0156/2020	SARS-CoV-2	2020-04-02	GH	USA	Florida	C	USA-other
USA/AK-PHL076/2020	SARS-CoV-2	2020-03-29	G	USA	Alaska	C	USA-other
USA/WA-UW-3829/2020	SARS-CoV-2	2020-03-25	GH	USA	Washington	C	USA-other
USA/CA-IGI-0100/2020	SARS-CoV-2	2020-06-11	GH	USA	California	C	USA-other
USA/CA-ALSR-0698-SAN/2020	SARS-CoV-2	2020-03-28	S	USA	California	C	USA-other
USA/WI-UW-22/2020	SARS-CoV-2	2020-03-13	S	USA	Wisconsin	C	USA-other
USA/LA-GBCL-26629241/2020	SARS-CoV-2	2020-04-21	GH	USA	Louisiana	C	USA-other
USA/CT-UW-652/2020	SARS-CoV-2	2020-03-13	GH	USA	Connecticut	C	USA-other
USA/MI-MDHHS-SC20906/2020	SARS-CoV-2	2020-04-29	GH	USA	Michigan	C	USA-other
USA/MN-MDH-1172/2020	SARS-CoV-2	2020-05-21	GH	USA	Minnesota	C	USA-other
USA/MI-MDHHS-SC21426/2020	SARS-CoV-2	2020-03-26	GH	USA	Michigan	C	USA-other
USA/OH-MDHHS-SC20370/2020	SARS-CoV-2	2020-03-13	G	USA	Ohio	C	USA-other
USA/WA-UW-13310/2020	SARS-CoV-2	2020-07-03	GR	USA	Washington	C	USA-other
USA/CA-ALSR-1582/2020	SARS-CoV-2	2020-05-03	GH	USA	California	C	USA-other
USA/NY-NYUMC818/2020	SARS-CoV-2	2020-03-25	GH	USA	New York	C	NY
USA/NY-PV09037/2020	SARS-CoV-2	2020-03-21	GH	USA	New York	C	NY
USA/NY-PV08452/2020	SARS-CoV-2	2020-03-18	GH	USA	New York	C	NY
USA/NY-PV08463/2020	SARS-CoV-2	2020-03-18	GH	USA	New York	C	NY
USA/NY-NYUMC707/2020	SARS-CoV-2	2020-03-20	GH	USA	New York	C	NY
USA/NY-WCMP4H03P/2020	SARS-CoV-2	2020-03-13	GH	USA	New York	C	NY
USA/NY-NYUMC611/2020	SARS-CoV-2	2020-04-01	GH	USA	New York	C	NY
USA/NY-PV09462/2020	SARS-CoV-2	2020-03-19	O	USA	New York	C	NY
USA/NY-PV09193/2020	SARS-CoV-2	2020-03-20	GH	USA	New York	C	NY
USA/NY-NYUMC785/2020	SARS-CoV-2	2020-03-25	GH	USA	New York	C	NY
USA/NY-PV09497/2020	SARS-CoV-2	2020-03-20	GH	USA	New York	C	NY
USA/NY-NYUMC699/2020	SARS-CoV-2	2020-03-26	GH	USA	New York	C	NY
USA/NY-NYU-VC-010/2020	SARS-CoV-2	2020-03-23	GH	USA	New York	C	NY
USA/NY-PV09130/2020	SARS-CoV-2	2020-03-19	GH	USA	New York	C	NY
USA/NY-PV09099/2020	SARS-CoV-2	2020-03-18	V	USA	New York	C	NY
USA/NY-NYUMC323/2020	SARS-CoV-2	2020-04-02	GH	USA	New York	C	NY
USA/NY-PV08413/2020	SARS-CoV-2	2020-03-16	GH	USA	New York	C	NY
USA/NY-NYUMC793/2020	SARS-CoV-2	2020-03-26	GH	USA	New York	C	NY
USA/NY-NYUMC520/2020	SARS-CoV-2	2020-03-30	S	USA	New York	C	NY
USA/NY-PV08143/2020	SARS-CoV-2	2020-03-17	GH	USA	New York	C	NY
USA/NY-PV09405/2020	SARS-CoV-2	2020-03-20	GH	USA	New York	C	NY
