strain	virus	date	GISAID_clade	country_exposure	division_exposure	period	source
England/CAMB-7368E/2020	SARS-CoV-2	2020-03-22	L	United Kingdom	England	C	Non-USA
Spain/Valencia185/2020	SARS-CoV-2	2020-03-17	S	Spain	Comunitat Valenciana	C	Non-USA
Brazil/RJ-1702/2020	SARS-CoV-2	2020-04-08	GR	Brazil	Rio de Janeiro	C	Non-USA
USA/UN-UW-1818/2020	SARS-CoV-2	2020-03-22	O	USA	USA	C	Non-USA
England/OXON-AF14C/2020	SARS-CoV-2	2020-03-23	GR	United Kingdom	England	C	Non-USA
Denmark/ALAB-SSI-653/2020	SARS-CoV-2	2020-03-28	GH	Denmark	Denmark	C	Non-USA
England/CAMB-81580/2020	SARS-CoV-2	2020-04-12	G	United Kingdom	England	C	Non-USA
Spain/MD-006414/2020	SARS-CoV-2	2020-05-19	G	Spain	Madrid	C	Non-USA
England/CAMB-71EB5/2020	SARS-CoV-2	2020-03-28	GR	United Kingdom	England	C	Non-USA
India/S53/2020	SARS-CoV-2	2020-05-02	G	India	West Bengal	C	Non-USA
Spain/MD-005358/2020	SARS-CoV-2	2020-03-22	G	Spain	Madrid	C	Non-USA
Belgium/rega-0414477/2020	SARS-CoV-2	2020-04-14	GR	Belgium	Hasselt	C	Non-USA
Scotland/CVR219/2020	SARS-CoV-2	2020-03-19	G	United Kingdom	Scotland	C	Non-USA
Scotland/CVR1921/2020	SARS-CoV-2	2020-04-08	G	United Kingdom	Scotland	C	Non-USA
England/NOTT-111663/2020	SARS-CoV-2	2020-05-19	V	United Kingdom	England	C	Non-USA
England/NORW-E8235/2020	SARS-CoV-2	2020-04-08	G	United Kingdom	England	C	Non-USA
India/GBRC274/2020	SARS-CoV-2	2020-06-13	G	India	Gujarat	C	Non-USA
Wales/PHWC-168867/2020	SARS-CoV-2	2020-04-20	GR	United Kingdom	Wales	C	Non-USA
England/BRIS-12C01C/2020	SARS-CoV-2	2020-05-09	GR	United Kingdom	England	C	Non-USA
England/BRIS-128F31/2020	SARS-CoV-2	2020-04-18	GR	United Kingdom	England	C	Non-USA
England/NORT-292177/2020	SARS-CoV-2	2020-05-07	GR	United Kingdom	England	C	Non-USA
England/CAMB-81614/2020	SARS-CoV-2	2020-04-10	G	United Kingdom	England	C	Non-USA
Switzerland/110066_165_A8/2020	SARS-CoV-2	2020-04-01	GH	Switzerland	Aargau	C	Non-USA
England/20170000404/2020	SARS-CoV-2	2020-04-19	V	United Kingdom	England	C	Non-USA
England/SHEF-C3B08/2020	SARS-CoV-2	2020-04-27	GR	United Kingdom	England	C	Non-USA
England/NORT-29C1AA/2020	SARS-CoV-2	2020-06-22	GR	United Kingdom	England	C	Non-USA
India/GBRC45/2020	SARS-CoV-2	2020-04-29	GH	India	Gujarat	C	Non-USA
Norway/2200/2020	SARS-CoV-2	2020-03-20	G	Norway	Norway	C	Non-USA
Wales/PHWC-30FFB/2020	SARS-CoV-2	2020-04-09	L	United Kingdom	Wales	C	Non-USA
England/BRIS-12CBB1/2020	SARS-CoV-2	2020-04-18	GR	United Kingdom	England	C	Non-USA
England/BRIS-130033/2020	SARS-CoV-2	2020-04-11	GR	United Kingdom	England	C	Non-USA
SouthAfrica/KRISP-0572/2020	SARS-CoV-2	2020-07-13	G	South Africa	KwaZulu-Natal	C	Non-USA
Spain/Granada-COV002948/2020	SARS-CoV-2	2020-03-28	S	Spain	Andalusia	C	Non-USA
Ecuador/USFQ-126/2020	SARS-CoV-2	2020-07-03	G	Ecuador	Orellana	C	Non-USA
Wales/PHWC-2B2DC/2020	SARS-CoV-2	2020-04-06	G	United Kingdom	Wales	C	Non-USA
England/20138026204/2020	SARS-CoV-2	2020-03-25	G	United Kingdom	England	C	Non-USA
England/201360175/2020	SARS-CoV-2	2020-03-24	G	United Kingdom	England	C	Non-USA
Wales/PHWC-166DA6/2020	SARS-CoV-2	2020-06-11	GR	United Kingdom	Wales	C	Non-USA
England/SHEF-CCC75/2020	SARS-CoV-2	2020-04-02	GR	United Kingdom	England	C	Non-USA
England/20140071604/2020	SARS-CoV-2	2020-03-27	V	United Kingdom	England	C	Non-USA
England/EXET-135F6E/2020	SARS-CoV-2	2020-03-29	GR	United Kingdom	England	C	Non-USA
Oman/205039149/2020	SARS-CoV-2	2020-05-27	GR	Oman	Muscat	C	Non-USA
England/CAMB-7B52F/2020	SARS-CoV-2	2020-04-13	GR	United Kingdom	England	C	Non-USA
England/GSTT-265D35A/2020	SARS-CoV-2	2020-03-17	V	United Kingdom	England	C	Non-USA
England/20138082804/2020	SARS-CoV-2	2020-03-27	GR	United Kingdom	England	C	Non-USA
USA/VA-DCLS-0303/2020	SARS-CoV-2	2020-05-18	GH	USA	Virginia	C	USA-other
USA/CT-Yale-252/2020	SARS-CoV-2	2020-04-01	GH	USA	Connecticut	C	USA-other
USA/WI-UW-359/2020	SARS-CoV-2	2020-04-18	G	USA	Wisconsin	C	USA-other
USA/WA-UW-4703/2020	SARS-CoV-2	2020-03-29	GH	USA	Washington	C	USA-other
USA/WI-UW-14/2020	SARS-CoV-2	2020-03-16	GH	USA	Wisconsin	C	USA-other
USA/WA-S1613/2020	SARS-CoV-2	2020-05-26	GR	USA	Washington	C	USA-other
USA/MI-MDHHS-SC20337/2020	SARS-CoV-2	2020-03-24	GH	USA	Michigan	C	USA-other
USA/WA-S2425/2020	SARS-CoV-2	2020-06-15	GR	USA	Washington	C	USA-other
USA/CA-ALSR-0474-SAN/2020	SARS-CoV-2	2020-04-15	G	USA	California	C	USA-other
USA/WI-GMF-09715/2020	SARS-CoV-2	2020-07-07	GH	USA	Wisconsin	C	USA-other
USA/WY-WYPHL-00029/2020	SARS-CoV-2	2020-03-21	S	USA	Wyoming	C	USA-other
USA/MI-MDHHS-SC20159/2020	SARS-CoV-2	2020-03-19	O	USA	Michigan	C	USA-other
USA/WA-S1939/2020	SARS-CoV-2	2020-06-03	GR	USA	Washington	C	USA-other
USA/WA-S2603/2020	SARS-CoV-2	2020-06-18	G	USA	Washington	C	USA-other
USA/WA-S1366/2020	SARS-CoV-2	2020-05-18	S	USA	Washington	C	USA-other
USA/MN-MDH-1175/2020	SARS-CoV-2	2020-05-21	GH	USA	Minnesota	C	USA-other
USA/MN-MDH-288/2020	SARS-CoV-2	2020-03-31	V	USA	Minnesota	C	USA-other
USA/LA-GBCL-26791706/2020	SARS-CoV-2	2020-04-09	GH	USA	Louisiana	C	USA-other
USA/WA-S1210/2020	SARS-CoV-2	2020-05-07	GH	USA	Washington	C	USA-other
USA/WA-S663/2020	SARS-CoV-2	2020-04-21	S	USA	Washington	C	USA-other
USA/MI-MDHHS-SC21199/2020	SARS-CoV-2	2020-03-30	GH	USA	Michigan	C	USA-other
USA/NM-QDX-263/2020	SARS-CoV-2	2020-04-30	G	USA	New Mexico	C	USA-other
USA/VA-DCLS-0374/2020	SARS-CoV-2	2020-05-12	GH	USA	Virginia	C	USA-other
USA/CA-QDX-221/2020	SARS-CoV-2	2020-04-10	GR	USA	California	C	USA-other
USA/MA-MGH-00706/2020	SARS-CoV-2	2020-04-07	GH	USA	Massachusetts	C	USA-other
USA/MI-MDHHS-SC20799/2020	SARS-CoV-2	2020-05-19	GH	USA	Michigan	C	USA-other
USA/CA-CZB-1245/2020	SARS-CoV-2	2020-04-14	L	USA	California	C	USA-other
USA/WA-UW386/2020	SARS-CoV-2	2020-03-16	GH	USA	Washington	C	USA-other
USA/WA-S905/2020	SARS-CoV-2	2020-04-27	GR	USA	Washington	C	USA-other
USA/WA-UW-2744/2020	SARS-CoV-2	2020-04-15	GH	USA	Washington	C	USA-other
USA/WI-GMF-00986/2020	SARS-CoV-2	2020-04-06	GH	USA	Minnesota	C	USA-other
USA/CA-CZB-1047/2020	SARS-CoV-2	2020-04-03	L	USA	California	C	USA-other
USA/MI-MDHHS-SC20442/2020	SARS-CoV-2	2020-03-14	GH	USA	Michigan	C	USA-other
USA/OR-OHSU-0066/2020	SARS-CoV-2	2020-04-22	G	USA	Oregon	C	USA-other
USA/CA-CZB-1652/2020	SARS-CoV-2	2020-04-18	GH	USA	California	C	USA-other
USA/WA-S271/2020	SARS-CoV-2	2020-03-31	S	USA	Washington	C	USA-other
USA/WA-S181/2020	SARS-CoV-2	2020-03-19	S	USA	Washington	C	USA-other
USA/CA-ALSR-1510/2020	SARS-CoV-2	2020-04-02	G	USA	California	C	USA-other
USA/MN-MDH-1248/2020	SARS-CoV-2	2020-04-20	GH	USA	Minnesota	C	USA-other
USA/WA-UW173/2020	SARS-CoV-2	2020-03-15	S	USA	Washington	C	USA-other
USA/CA-ALSR-1168/2020	SARS-CoV-2	2020-04-02	G	USA	California	C	USA-other
USA/LA-GBCL-26544563/2020	SARS-CoV-2	2020-04-18	GH	USA	Louisiana	C	USA-other
USA/MN-UMGC-2/2020	SARS-CoV-2	2020-04-04	S	USA	Minnesota	C	USA-other
USA/UT-02903/2020	SARS-CoV-2	2020-04-30	GH	USA	Utah	C	USA-other
USA/IL-QDX-200/2020	SARS-CoV-2	2020-04-30	GR	USA	Illinois	C	USA-other
USA/MI-MDHHS-SC21036/2020	SARS-CoV-2	2020-04-01	GH	USA	Michigan	C	USA-other
USA/MI-MDHHS-SC20271/2020	SARS-CoV-2	2020-03-25	GH	USA	Michigan	C	USA-other
USA/WI-GMF-09489/2020	SARS-CoV-2	2020-07-06	G	USA	Wisconsin	C	USA-other
USA/CA-CZB-2017/2020	SARS-CoV-2	2020-05-01	GR	USA	California	C	USA-other
USA/CA-CZB-1014/2020	SARS-CoV-2	2020-04-07	L	USA	California	C	USA-other
USA/WI-UW-479/2020	SARS-CoV-2	2020-06-10	G	USA	Wisconsin	C	USA-other
USA/MI-MDHHS-SC21291/2020	SARS-CoV-2	2020-04-11	GH	USA	Michigan	C	USA-other
USA/MI-MDHHS-SC20318/2020	SARS-CoV-2	2020-04-06	GH	USA	Michigan	C	USA-other
USA/CT-UW-6259/2020	SARS-CoV-2	2020-04-01	GH	USA	Connecticut	C	USA-other
USA/CA-ALSR-1556/2020	SARS-CoV-2	2020-05-13	G	USA	California	C	USA-other
USA/VA-DCLS-0244/2020	SARS-CoV-2	2020-04-16	GH	USA	Virginia	C	USA-other
USA/TX-HMH0421/2020	SARS-CoV-2	2020-04-01	GH	USA	Texas	C	USA-other
USA/WI-UW-927/2020	SARS-CoV-2	2020-07-13	G	USA	Wisconsin	C	USA-other
USA/UT-02434/2020	SARS-CoV-2	2020-04-21	G	USA	Utah	C	USA-other
USA/CA-CSMC35/2020	SARS-CoV-2	2020-04-01	GH	USA	California	C	USA-other
USA/CA-UCSF-UC45/2020	SARS-CoV-2	2020-03-19	GR	USA	California	C	USA-other
USA/MN-MDH-1145/2020	SARS-CoV-2	2020-04-28	GH	USA	Minnesota	C	USA-other
USA/AK-PHL076/2020	SARS-CoV-2	2020-03-29	G	USA	Alaska	C	USA-other
USA/MI-MDHHS-SC21272/2020	SARS-CoV-2	2020-04-05	GH	USA	Michigan	C	USA-other
USA/IL-NM038/2020	SARS-CoV-2	2020-03-16	GH	USA	Illinois	C	USA-other
USA/WI-GMF-01159/2020	SARS-CoV-2	2020-04-16	GH	USA	Iowa	C	USA-other
USA/WA-S1465/2020	SARS-CoV-2	2020-05-21	GH	USA	Washington	C	USA-other
USA/CA-UW-MAYO53/2020	SARS-CoV-2	2020-03-27	GH	USA	California	C	USA-other
USA/MN-MDH-1153/2020	SARS-CoV-2	2020-05-02	GH	USA	Minnesota	C	USA-other
USA/WA-S1092/2020	SARS-CoV-2	2020-04-29	GH	USA	Washington	C	USA-other
USA/MI-UM-2006S000968/2020	SARS-CoV-2	2020-03-28	GH	USA	Michigan	C	USA-other
USA/WI-UW-278/2020	SARS-CoV-2	2020-04-03	L	USA	Wisconsin	C	USA-other
USA/WA-S1413/2020	SARS-CoV-2	2020-05-20	GH	USA	Washington	C	USA-other
USA/MI-MDHHS-SC20667/2020	SARS-CoV-2	2020-04-29	GH	USA	Michigan	C	USA-other
USA/CA-CZB-1890/2020	SARS-CoV-2	2020-04-19	GH	USA	California	C	USA-other
USA/FL-BPHL-0652/2020	SARS-CoV-2	2020-04-06	G	USA	Florida	C	USA-other
USA/WA-UW-1705/2020	SARS-CoV-2	2020-03-21	S	USA	Washington	C	USA-other
USA/MI-MDHHS-SC21191/2020	SARS-CoV-2	2020-03-31	GH	USA	Michigan	C	USA-other
USA/MN-MDH-301/2020	SARS-CoV-2	2020-03-30	GH	USA	Minnesota	C	USA-other
USA/WA-S1110/2020	SARS-CoV-2	2020-05-04	GH	USA	Washington	C	USA-other
USA/WA-S2061/2020	SARS-CoV-2	2020-06-05	GR	USA	Washington	C	USA-other
USA/CA-SR0262/2020	SARS-CoV-2	2020-04-27	GH	USA	California	C	USA-other
USA/WA-UW-10128/2020	SARS-CoV-2	2020-05-29	GH	USA	Washington	C	USA-other
USA/WI-UW-06/2020	SARS-CoV-2	2020-03-21	S	USA	Wisconsin	C	USA-other
USA/UT-01220/2020	SARS-CoV-2	2020-04-08	GH	USA	Utah	C	USA-other
USA/MN-MDH-98/2020	SARS-CoV-2	2020-03-16	GH	USA	Minnesota	C	USA-other
USA/CT-Yale-309/2020	SARS-CoV-2	2020-03-30	GH	USA	Connecticut	C	USA-other
USA/AK-PHL071/2020	SARS-CoV-2	2020-03-27	GH	USA	Alaska	C	USA-other
USA/WA-UW-2235/2020	SARS-CoV-2	2020-03-24	GH	USA	Washington	C	USA-other
